SourceFile,ByteOrderMark,CharacterSet,CodePage,CodeSize,CompanyName,CompObjUserType,CompObjUserTypeLen,Contributor,ContributorRole,CreateDate,Creation-date,Creator,CreatorFile-as,CreatorId,CreatorRole,Date,Description,DescriptionXmlns,Directory,Document-statisticCell-count,Document-statisticObject-count,Document-statisticTable-count,Editing-cycles,Editing-duration,EntryPoint,Error,ExifToolVersion,FileAccessDate,FileCreateDate,FileDescription,FileFlags,FileFlagsMask,FileModifyDate,FileName,FileOS,FilePermissions,FileSize,FileSubtype,FileType,FileTypeExtension,FileVersion,FileVersionNumber,Format,Generator,Guide,GuideReferenceHref,GuideReferenceTitle,GuideReferenceType,Identifier,IdentifierId,IdentifierScheme,ImageFileCharacteristics,ImageVersion,Initial-creator,InitializedDataSize,Language,LanguageCode,LastModifiedBy,LastPrinted,LegalCopyright,LineCount,LinkerVersion,MachineType,ManifestItemHref,ManifestItemId,ManifestItemMedia-type,ManifestItemProperties,Meta,MetaContent,MetaId,MetaName,MetaProperty,MetaRefines,MetaScheme,MIMEEncoding,MIMEType,ModificationDate,ModifyDate,Newlines,ObjectFileType,OSVersion,PEType,PreviewPNG,Print-date,Printed-by,ProductName,ProductVersion,ProductVersionNumber,PublicationDate,Publisher,RevisionNumber,Rights,Source,SourceId,SpineItemrefIdref,SpineItemrefLinear,SpinePage-progression-direction,SpineToc,Subject,Subsystem,SubsystemVersion,TemplateActuate,TemplateHref,TemplateTitle,TemplateType,TimeStamp,Title,TitleId,TotalEditTime,Tours,ToursTourId,ToursTourSiteHref,ToursTourSiteTitle,ToursTourTitle,Type,UninitializedDataSize,User-definedName,WordCount,ZoneIdentifier
.~lock.2024-excel-calendar-planner-with-notes-01.xls#,,,,,,,,,,,,,,,,,,,.,,,,,,,,12.93,2024:12:16 18:18:29-05:00,2024:12:16 18:18:29-05:00,,,,2024:12:16 18:18:29-05:00,.~lock.2024-excel-calendar-planner-with-notes-01.xls#,,-rw-rw-rw-,117 bytes,,TXT,txt,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,us-ascii,text/plain,,,(none),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
2024-excel-calendar-planner-with-notes-01.xls,,,Unicode (UTF-8),,,Microsoft Excel 97-Tabelle,27,,,0,,,,,,,,,.,,,,,,,,12.93,2024:12:17 16:07:00-05:00,2024:01:03 13:30:04-05:00,,,,2024:12:14 23:19:31-05:00,2024-excel-calendar-planner-with-notes-01.xls,,-rw-rw-rw-,79 kB,,XLS,xls,,,,,,,,,,,,,,,,,,"SPRITE ",0,,,,,,,,,,,,,,,,,application/vnd.ms-excel,,2024:12:15 04:19:31,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,26.5 days,,,,,,,,,,
2025-excel-calendar-planner-with-notes-01.ods,,,,,,,,,,,,"SPRITE ",,,,2024:12:13 18:40:42.21,,,.,1487,0,12,,,,,12.93,2024:12:18 01:38:13-05:00,2024:12:13 18:40:40-05:00,,,,2024:12:13 18:40:43-05:00,2025-excel-calendar-planner-with-notes-01.ods,,-rw-rw-rw-,35 kB,,ODS,ods,,,,OpenOffice/4.1.14$Win32 OpenOffice.org_project/4114m1$Build-9811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,application/vnd.oasis.opendocument.spreadsheet,,,,,,,"(Binary data 5129 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balenaEtcher-portable.exe,,"Windows, Latin1",,26624,Balena Ltd.,,,,,,,,,,,,,,.,,,,,,0x338f,,12.93,2024:12:18 01:47:28-05:00,2024:05:14 00:39:38-04:00,"Flash OS images to SD cards and USB drives, safely and easily.",(none),0x0000,2024:05:04 13:53:53-04:00,balenaEtcher-portable.exe,Win32,-rw-rw-rw-,139 MB,0,Win32 EXE,exe,1.18.11,1.18.11.0,,,,,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit",6.0,,473088,,English (U.S.),,,Copyright 2016-2023 Balena Ltd,,6.0,"Intel 386 or later, and compatibles",,,,,,,,,,,,,application/octet-stream,,,,Executable application,4.0,PE32,,,,balenaEtcher,1.18.11,1.18.11.0,,,,,,,,,,,,Windows GUI,4.0,,,,,2018:12:15 17:26:14-05:00,,,,,,,,,,16384,,,
Default.rdp,Yes,,,,,,,,,,,,,,,,,,.,,,,,,,,12.93,2024:12:16 17:41:38-05:00,2023:04:26 16:45:22-04:00,,,,2024:12:16 17:41:38-05:00,Default.rdp,,-rw-rw-rw-,2.4 kB,,TXT,txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utf-16le,text/plain,,,Windows CRLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desktop.ini,Yes,,,,,,,,,,,,,,,,,,.,,,,,,,,12.93,2024:12:18 01:47:28-05:00,2023:03:06 12:28:59-05:00,,,,2023:03:06 12:29:22-05:00,desktop.ini,,-rw-rw-rw-,402 bytes,,TXT,txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utf-16le,text/plain,,,Windows CRLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD_ROBB_Apprentice_in_Death_-_JD_Robb.epub,,,,,,,,calibre (3.30.0) [https://calibre-ebook.com],bkp,,,J. D. Robb,"Robb, J. D.",,aut,2016:09:06 05:00:00+00:00,"<div><p><em><em>THE #1 </em>NEW YORK TIMES</em> BESTSELLER  </p>
<p>Lieutenant Eve Dallas must hunt down the deadly snipers terrorizing Manhattan in this fast-paced In Death thriller from J. D. Robb.<strong><br>
</strong> **<br>
The shots came quickly, silently, and with deadly accuracy. Within seconds, three people were dead at Central Park’s ice-skating rink. The victims: a talented young skater, a doctor, and a teacher. As random as random can be.  </p>
<p>Eve Dallas has seen a lot of killers during her time with the NYPSD but never one like this. A review of the security videos reveals that the victims were killed with a tactical laser rifle fired by a sniper, who could have been miles away when the trigger was pulled. And though the list of locations where the shooter could have set up seems endless, the number of people with that particular skill set is finite: police, military, professional killer.  </p>
<p>Eve’s husband, Roarke, has unlimited resources—and genius—at his disposal. And when his computer program leads Eve to the location of the sniper, she learns a shocking fact: There were two—one older, one younger. Someone is being trained by an expert in the science of killing, and they have an agenda. Central Park was just a warm-up. And as another sniper attack shakes the city to its core, Eve realizes that though we’re all shaped by the people around us, there are those who are just born evil...</p>
<p>**</p><h3>Review</h3>
<p><strong>Praise for *Apprentice in Death</strong>*  </p>
<p>“Exceptional...Robb is in peak form as she blends intense action and clever twists with a stellar cast headed by the indomitable Lt. Eve Dallas.”—<em>Publishers Weekly</em>  </p>
<p>“Outstanding...Robb does her usual amazing job delivering not only a complex police procedural, but also exploring the factors that can lead to the development of a killer. No one does futuristic suspense better than Robb!”—<em>RT Book Reviews</em> (4 ½ stars, Top Pick)<strong><em>*<br>
</em>*<br>
More Praise for the In Death series</strong><br>
<br>
“Robb is a virtuoso.”—<em>Seattle Post-Intelligencer</em><br>
<br>
“It’s <em>Law &amp; Order: SVU</em>—in the future.”—*Entertainment Weekly  </p>
<p><em>“J. D. Robb’s In Death novels are can’t-miss pleasures.”—#1 </em>New York Times *bestselling author Harlan Coben   </p>
<p>“Anchored by terrific characters, sudden twists that spin the whole narrative on a dime, and a thrills-to-chills ration that will raise the neck hairs of even the most jaded reader, the J. D. Robb books are the epitome of great popular fiction.”—<em>New York Times </em>bestselling author Dennis Lehane <br>
<em> </em></p>
<h3>About the Author</h3>
<p><strong>J. D. Robb</strong> is the pseudonym for a #1 <em>New York Times</em> bestselling author of more than 200 novels, including the bestselling In Death series. There are more than 500 million copies of her books in print.</p></div>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:27:47-05:00,JD_ROBB_Apprentice_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,876 kB,,EPUB,epub,,,,,,Text/part0005.xhtml,Start,text,B019DHP654,uid,calibre,,,,,en,,,,,,,,Images/cover.jpeg,cover,image/jpeg,,,utf-8,,output encoding,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin,,,9781101987995,,titlepage,,,ncx,"Mystery, Romance",,,,,,,,Apprentice in Death,,,"
    ",,,,,,,,,Exists
JD_ROBB_Brotherhood_in_Death_-_JD_Robb.epub,,,,,,,,calibre (3.30.0) [https://calibre-ebook.com],bkp,,,J. D. Robb,"Robb, J. D.",,aut,2016:02:02 06:00:00+00:00,"<div><p><strong>In this thrilling novel in the #1 <em>New York Times</em> bestselling In Death series, Lieutenant Eve Dallas finds herself in the middle of a conspiracy when she investigates the disappearance of a former U.S. Senator.</strong><br>
<br>
Just as Dennis Mira is about to confront his cousin Edward about selling the West Village brownstone that belonged to their grandfather, he gets a shock: Edward is in front of him, bruised and bloody...and then everything goes black. <br>
<br>
When Dennis comes to, Edward is gone. Luckily Dennis’s wife is a top profiler for the NYPSD—and a close colleague of Lieutenant Eve Dallas. Now Eve is determined to uncover the secrets of Edward Mira and learn what enemies he may have made in his long career as a lawyer, judge, and senator. A badge and a billionaire husband can get you access to places others can’t go, and Eve intends to shine some light on the dirty deals and dark motives behind the disappearance of a powerful man, the family discord over a multimillion-dollar piece of real estate...and a new case that no one saw coming.  </p>
<p><em>From the Paperback edition.</em></p>
<p>**</p><h3>From Publishers Weekly</h3>
<p>Bestseller Robb's subpar 42nd novel set in a near-future New York (after 2015's Devoted in Death) finds Eve's friend Dennis Mira, husband of her psychiatrist colleague, Charlotte Mira, requesting her help after his cousin, former U.S. senator Edward Mira, goes missing, presumably kidnapped. It doesn't take long for Edward's corpse to show up or for another similarly tortured and abused victim to be discovered. Edward was a serial adulterer, and as Eve tracks down his paramours, she discovers disturbing connections. Links between Edward and the second victim also appear, and Eve, assisted as always by her lover, Roarke, and supporting staff, engages in a race to identify the killers and protect other likely victims. The crimes are ugly and the victims more so, and Eve has to fight through her own brutal past in this less than sparkling entry in Robb's popular series. Agent: Amy Berkower, Writers House. (Feb.) </p>
<h3>Review</h3>
<p>“Truly transfixing reading!”—<em>RT Book Reviews</em>**  </p>
<p>More Praise for the In Death series<em><em><br>
<br>
“Robb is a virtuoso.”—</em>Seattle Post-Intelligencer</em><br>
<br>
“It’s <em>Law &amp; Order: SVU</em>—in the future.”—*Entertainment Weekly  </p>
<p><em>“J. D. Robb’s In Death novels are can’t-miss pleasures.”—#1 </em>New York Times* bestselling author Harlan Coben   </p>
<p>“Anchored by terrific characters, sudden twists that spin the whole narrative on a dime, and a thrills-to-chills ration that will raise the neck hairs of even the most jaded reader, the J. D. Robb books are the epitome of great popular fiction.”—<em>New York Times</em> bestselling author Dennis Lehane  </p></div>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:28:29-05:00,JD_ROBB_Brotherhood_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,909 kB,,EPUB,epub,,,,,,Text/part0004.xhtml,Start,text,B00X593FYG,uid,calibre,,,,,en-CA,,,,,,,,Images/cover.jpeg,cover,image/jpeg,,,utf-8,,output encoding,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin,,,,,titlepage,,,ncx,"Mystery, Romance",,,,,,,,Brotherhood in Death,,,"
    ",,,,,,,,,Exists
JD_ROBB_Calculated_in_Death_-_JD_Robb.epub,,,,,,,,,,,,J. D. Robb,,,,2013:01:26,"<p><b>In her years at the NYPSD, Eve Dallas has solved some truly appalling homicides. But some cases are worse than others.</b><br> <br> On Manhattan's East Side a woman lies dead at the bottom of the stairs, stripped of all her valuables. Most cops might call it a mugging gone wrong, but Lieutenant Eve Dallas knows better.<br> <br> A well-off accountant and a beloved wife and mother, Marta Dickenson doesn't seem the type to be on anyone's hit list. But when Eve and her partner, Peabody, find blood inside the building, the lieutenant knows Marta's murder was the work of a killer who's trained, but not professional or smart enough to remove all the evidence.<br> <br> But when someone steals the files out of Marta's office, Eve must immerse herself in her billionaire husband Roarke's world of big business to figure out who's cruel and callous enough to hire a hit on an innocent woman. And as the killer's violent streak begins to escalate, Eve knows she has to draw him out, even if...",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:25:02-05:00,JD_ROBB_Calculated_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,985 kB,,EPUB,epub,,,,,,CoverImage.xhtml,Cover Page,cover,9781101609248,bookid,,,,,,en-US,,,,,,,,CoverImage.xhtml,CoverImage,application/xhtml+xml,,,Adobe InDesign,,generator,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin Group US,,,,,CoverImage,,,ncx,,,,,,,,,In Death 36 - Calculated in Death,,,,,,,,,,,,Exists
JD_ROBB_Celebrity_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 34 - Celebrity in Death,"Robb, J. D.",,aut,2011:12:31 16:00:00+00:00,"<p class=""description"">We've got a corpse that looks like one of the investigators, a houseful of Hollywood and a media machine that's going to eat it like gooey chocolate.' Lieutenant Eve Dallas is panicking - and she's not at a crime scene. Forced to attend a celeb-packed party for a new movie based on her most famous case, she is surrounded by actors who look like everyone in her life. Just as the end is in sight, brutal reality crashes through the sparkly façade. There's been a murder. The obnoxious actress playing Eve's partner, Peabody, has been found face down in the pool. As Eve hastily interviews the guests, it's hard to find anyone who didn't have a motive for the crime. But with a murdered Personal Investigator, a missing tape recording and a hugely expensive movie in the mix, Eve must fight to keep a clear head and stop a calculated killer.</p>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:28:57-05:00,JD_ROBB_Celebrity_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,368 kB,,EPUB,epub,,,,,,Text/CR!S36NXFQ2914WZ490JRWMZDYBVA3C_split_003.html#filepos7885,Table of Contents,toc,r/j-d-robb/celebrity-in-death,uuid_id,uuid,,,,,en,,,,,,,,Text/CR!S36NXFQ2914WZ490JRWMZDYBVA3C_split_000.html,id128,application/xhtml+xml,,,Celebrity in Death,,calibre:title_sort,,,,,application/epub+zip,,,,,,,,,,,,,,Putnam Adult,,,,,titlepage,,,ncx,"Fiction, General, Mystery & Detective",,,,,,,,Celebrity in Death,,,,,,,,,,,,Exists
